"time","surv","lower","upper"
0.190982636719204,0.995,0.985272571698764,1
0.214968025357044,0.99,0.976306023183465,1
0.353099724891929,0.985,0.968297235357324,1
0.56433281110179,0.98,0.960788158056084,0.999596000374454
0.621958949723759,0.975,0.953600908411531,0.996879293648652
0.785735869107561,0.97,0.946644034704206,0.993932212644217
1.02266249668118,0.964974093264249,0.93981883058949,0.990802663623041
1.06384728491064,0.959921872880666,0.933092884536516,0.987522268474298
1.76831375587714,0.954588973586885,0.926027052851157,0.984031844089255
1.96194612029759,0.949165172600596,0.918937014107798,0.98038767733458
2.03463544145221,0.943678668712731,0.911857742935207,0.976610043269337
2.05634660054962,0.938192164824866,0.904877290779123,0.972733592839853
2.17420163579167,0.932640731896908,0.897882822654954,0.968744153297453
2.53466617316008,0.92695389816583,0.890761268390128,0.964617075097728
2.88259641706761,0.921087101341995,0.883444395488074,0.9603337262555
3.23074960356785,0.914987186763571,0.875853400509361,0.955869499912465
3.38851551331531,0.908846333161131,0.86828112027822,0.951306711627868
3.47784661309983,0.902705479558691,0.860782299938829,0.946670468111618
3.63733779106821,0.896564625956251,0.853349820385631,0.941967888565115
3.8781439297641,0.890160592913706,0.845596212589005,0.937073593021891
4.17238316283776,0.88351760341435,0.837561000775248,0.931995824567416
4.47131769888725,0.876721314157317,0.829372425662502,0.926773351650489
4.68497918979204,0.869650980978629,0.820856554379828,0.921345909564533
4.84112758053149,0.862580647799941,0.812413460555395,0.915845699368778
5.00511948808303,0.855332070927672,0.803783229613565,0.910186881989499
5.08582185190733,0.848021540406923,0.795132991105372,0.904427990083019
5.20104728197718,0.840711009886174,0.7865473883509,0.898604473947487
5.27451953922327,0.833336351904716,0.777932555977651,0.892685966244369
5.41282354549134,0.825828817202872,0.769191717423013,0.886636218090783
5.61705780825738,0.818110790873873,0.760218296553329,0.880411941121076
8.00398594167616,0.80825403435732,0.748248236598816,0.873071999506959
8.18912350081036,0.798022970631278,0.735871634157885,0.865423576741012
8.79484957581616,0.785553861715165,0.720273382733907,0.85675090104445
9.18086919670877,0.771772215018407,0.702926675499201,0.847360574915464
9.22166536011818,0.75799056832165,0.685934836543544,0.837615573747149
9.51239636408225,0.74312800815848,0.667610077890164,0.827188286693967
9.93802933465247,0.727646174655179,0.648706684040613,0.8161916140472
10.768565786237,0.709898706980662,0.626723752569063,0.80411213410534
10.8771093616068,0.692151239306146,0.605267937530786,0.791506221240516
11.5107775882788,0.669823779973689,0.577251985765282,0.777240974967688
11.6635879130625,0.646726408250459,0.548975552457355,0.761882829310563
